Locus,chr,AGPv2_start,AGPv2_end,cM,predict_start,predict_end,Difference
IDP7746,2,"14,821,916","14,823,529",59.1,"13,716,641","14,946,729",-----
IDP682,2,"14,836,360","14,837,249",59.1,"13,716,641","14,946,729",-----
AY106040,2,"14,836,708","14,837,045",59.9,"14,781,166","15,916,443",-----
IDP4786,2,"15,240,679","15,243,071",59.9,"14,781,166","15,916,443",-----
TIDP9198,2,"15,895,893","15,899,564",63.2,"15,057,444","16,487,607",-----
IDP591,2,"15,930,394","15,933,395",63.2,"15,057,444","16,487,607",-----
IDP8214,2,"15,967,570","15,969,379",63.2,"15,057,444","16,487,607",-----
IDP1954,2,"15,994,044","15,995,133",63.2,"15,057,444","16,487,607",-----
IDP3802,2,"16,125,205","16,126,514",63.2,"15,057,444","16,487,607",-----
IDP712,2,"16,301,559","16,304,112",63.2,"15,057,444","16,487,607",-----
TIDP7075,2,"16,346,499","16,352,048",63.6,"16,140,380","18,193,917",-----
IDP668,2,"18,133,007","18,135,857",78.3,"16,311,879","18,437,279",-----
IDP1612,2,"18,133,383","18,134,191",78.3,"16,311,879","18,437,279",-----
IDP8719,2,"18,420,037","18,422,247",80.5,"18,014,304","19,075,546",-----
TIDP6135,2,"18,995,605","18,996,493",82.7,"18,344,591","19,461,962",-----
mmp33,2,"19,358,545","19,359,770",85,"18,941,322","20,165,103",-----
IDP8665,2,"20,121,078","20,124,234",88.8,"19,294,899","21,064,199",-----
IDP4867,2,"20,203,285","20,206,758",88.8,"19,294,899","21,064,199",-----
IDP8152,2,"20,406,053","20,408,717",88.8,"19,294,899","21,064,199",-----
TIDP5833,2,"20,523,291","20,524,693",88.8,"19,294,899","21,064,199",-----
IDP7439,2,"20,536,774","20,539,183",88.8,"19,294,899","21,064,199",-----
IDP7173,2,"20,791,953","20,794,277",88.8,"19,294,899","21,064,199",-----
IDP7646,2,"20,925,255","20,926,022",91.4,"20,735,071","22,230,501",-----
TIDP5281,2,"21,261,578","21,265,544",91.4,"20,735,071","22,230,501",-----
IDP7391,2,"21,266,939","21,269,108",91.4,"20,735,071","22,230,501",-----
IDP4525,2,"21,274,799","21,281,327",91.4,"20,735,071","22,230,501",-----
IDP7183,2,"21,502,342","21,505,714",91.4,"20,735,071","22,230,501",-----
mmp42,2,"21,791,771","21,791,895",93.6,"21,784,066","22,230,501",-----
IDP2485,2,"21,905,058","21,907,820",95.3,"21,784,066","22,230,501",-----
AI920398,2,"22,153,781","22,154,480",92.2,"21,454,500","21,942,122","211,659"
TIDP3339,2,"22,192,593","22,193,585",96.4,"22,082,389","22,921,178",-----
IDP4769,2,"22,193,942","22,197,886",96.4,"22,082,389","22,921,178",-----
IDP7189,2,"22,229,519","22,232,765",95.3,"21,784,066","22,230,501",-----
TIDP5492,2,"22,754,466","22,758,445",98.1,"22,082,389","25,946,138",-----
IDP9010,2,"22,993,711","23,002,305",98.1,"22,082,389","25,946,138",-----
TIDP8875,2,"25,929,873","25,933,437",98.6,"26,747,762","27,903,634","814,325"
IDP8473,2,"26,287,949","26,291,006",98.1,"22,082,389","25,946,138","341,811"
IDP7342,2,"26,881,246","26,884,474",98.1,"22,082,389","25,946,138","935,108"
IDP1968,2,"27,866,801","27,870,938",99.4,"28,286,804","29,418,062","415,866"
IDP147,2,"28,036,160","28,037,222",99.4,"28,286,804","29,418,062","249,582"
IDP4743,2,"28,139,672","28,143,627",98.6,"26,747,762","27,903,634","236,038"
IDP4306,2,"28,194,969","28,197,386",98.6,"26,747,762","27,903,634","291,335"
phi109642,2,"28,210,358","28,211,107",99.4,"28,286,804","29,418,062","75,697"
umc34,2,"28,210,358","28,211,107",99.4,"28,286,804","29,418,062","75,697"
TIDP2900,2,"28,297,022","28,297,734",99.4,"28,286,804","29,418,062",-----
AY104214,2,"28,394,781","28,395,048",98.6,"26,747,762","27,903,634","491,147"
IDP4042,2,"28,563,936","28,565,555",99.4,"28,286,804","29,418,062",-----
IDP296,2,"28,567,737","28,569,349",99.4,"28,286,804","29,418,062",-----
IDP7808,2,"28,643,140","28,648,141",99.4,"28,286,804","29,418,062",-----
IDP9066,2,"28,649,250","28,651,914",99.4,"28,286,804","29,418,062",-----
umc1026,2,"29,124,644","29,124,967",99.4,"28,286,804","29,418,062",-----
umc1024,2,"29,124,796","29,124,988",99.4,"28,286,804","29,418,062",-----
IDP8031,2,"29,261,699","29,262,646",99.4,"28,286,804","29,418,062",-----
IDP7441,2,"29,267,071","29,269,662",100.1,"29,199,500","29,678,702",-----
umc2247,2,"29,521,730","29,524,017",100.1,"29,199,500","29,678,702",-----
TIDP3235,2,"29,521,862","29,524,351",100.5,"29,500,958","31,706,757",-----
TIDP3393,2,"31,644,537","31,646,419",105.7,"29,500,958","32,005,219",-----
TIDP2701,2,"31,824,018","31,825,124",105.7,"29,500,958","32,005,219",-----
umc2248,2,"31,921,031","31,921,857",106.1,"38,588,134","39,889,991","6,666,277"
IDP4687,2,"31,943,736","31,946,130",105.7,"29,500,958","32,005,219",-----
IDP8503,2,"32,273,430","32,275,419",105.7,"29,500,958","32,005,219","268,211"
AY110266,2,"32,443,323","32,443,663",105.7,"29,500,958","32,005,219","438,104"
TIDP9160,2,"32,490,658","32,493,697",105.7,"29,500,958","32,005,219","485,439"
TIDP3470,2,"32,637,453","32,639,334",105.7,"29,500,958","32,005,219","632,234"
umc1448,2,"33,345,055","33,346,309",105.7,"29,500,958","32,005,219","1,339,836"
IDP5936,2,"34,221,797","34,223,053",105.7,"29,500,958","32,005,219","2,216,578"
IDP7686,2,"34,343,366","34,345,493",105.7,"29,500,958","32,005,219","2,338,147"
TIDP3431,2,"36,591,108","36,592,589",105.7,"29,500,958","32,005,219","4,585,889"
TIDP8884,2,"36,604,047","36,606,589",105.7,"29,500,958","32,005,219","4,598,828"
IDP7551,2,"36,767,880","36,768,759",105.7,"29,500,958","32,005,219","4,762,661"
IDP4413,2,"36,772,254","36,773,522",105.7,"29,500,958","32,005,219","4,767,035"
IDP2407,2,"36,911,390","36,912,105",105.7,"29,500,958","32,005,219","4,906,171"
IDP8617,2,"37,555,787","37,558,279",105.7,"29,500,958","32,005,219","5,550,568"
IDP5877,2,"37,844,354","37,845,195",105.7,"29,500,958","32,005,219","5,839,135"
IDP8378,2,"37,859,994","37,865,124",105.7,"29,500,958","32,005,219","5,854,775"
IDP4517,2,"37,874,566","37,876,418",105.7,"29,500,958","32,005,219","5,869,347"
IDP7738,2,"38,083,001","38,083,795",105.7,"29,500,958","32,005,219","6,077,782"
umc1465,2,"38,140,534","38,141,692",105.7,"29,500,958","32,005,219","6,135,315"
IDP8693,2,"38,291,295","38,294,132",105.7,"29,500,958","32,005,219","6,286,076"
IDP7829,2,"38,559,356","38,562,139",105.7,"29,500,958","32,005,219","6,554,137"
IDP5923,2,"38,573,329","38,574,630",105.7,"29,500,958","32,005,219","6,568,110"
umc1541,2,"38,694,670","38,695,237",105.7,"29,500,958","32,005,219","6,689,451"
TIDP5306,2,"39,756,245","39,757,997",109.6,"40,034,389","41,361,238","276,392"
TIDP5784,2,"39,943,848","39,945,325",109.6,"40,034,389","41,361,238","89,064"
mmp167,2,"40,139,008","40,139,509",109.6,"40,034,389","41,361,238",-----
IDP8652,2,"40,150,090","40,155,762",109.6,"40,034,389","41,361,238",-----
IDP3777,2,"40,150,090","40,155,762",106.1,"38,588,134","39,889,991","260,099"
TIDP6192,2,"40,505,904","40,507,916",109.6,"40,034,389","41,361,238",-----
prp2,2,"40,588,247","40,589,115",109.6,"40,034,389","41,361,238",-----
IDPCP97182,2,"40,904,023","40,906,568",109.6,"40,034,389","41,361,238",-----
AY110485,2,"41,305,246","41,306,786",110.3,"40,894,003","44,490,797",-----
IDP7152,2,"41,732,100","41,733,516",110.3,"40,894,003","44,490,797",-----
TIDP3141,2,"41,735,348","41,736,034",110.3,"40,894,003","44,490,797",-----
IDP1439,2,"41,959,680","41,961,392",110.3,"40,894,003","44,490,797",-----
IDP7240,2,"42,065,703","42,067,992",110.3,"40,894,003","44,490,797",-----
bnlg1175,2,"42,409,105","42,409,822",110.3,"40,894,003","44,490,797",-----
IDP4128,2,"42,474,842","42,476,760",110.3,"40,894,003","44,490,797",-----
IDP4728,2,"42,617,183","42,618,379",110.3,"40,894,003","44,490,797",-----
IDP2449,2,"42,790,116","42,793,253",110.3,"40,894,003","44,490,797",-----
umc2251,2,"43,330,891","43,331,504",110.3,"40,894,003","44,490,797",-----
TIDP8794,2,"43,345,092","43,347,160",110.3,"40,894,003","44,490,797",-----
IDP8920,2,"43,372,917","43,379,881",110.3,"40,894,003","44,490,797",-----
umc2249,2,"43,633,707","43,634,236",110.3,"40,894,003","44,490,797",-----
TIDP9217,2,"44,330,248","44,332,089",110.3,"40,894,003","44,490,797",-----
IDP6974,2,"44,387,815","44,388,972",115.4,"44,211,572","48,402,677",-----
TMR41,2,"44,441,764","44,443,282",115.4,"44,211,572","48,402,677",-----
IDP7519,2,"44,795,858","44,798,783",115.4,"44,211,572","48,402,677",-----
IDP8511,2,"44,940,824","44,942,514",115.4,"44,211,572","48,402,677",-----
IDP8365,2,"44,942,761","44,944,891",115.4,"44,211,572","48,402,677",-----
mmp91,2,"45,986,220","45,986,520",115.4,"44,211,572","48,402,677",-----
TIDP5338,2,"46,159,716","46,161,637",115.4,"44,211,572","48,402,677",-----
IDP3942,2,"47,115,243","47,117,118",115.4,"44,211,572","48,402,677",-----
IDP9132,2,"47,161,578","47,165,364",115.4,"44,211,572","48,402,677",-----
IDP3932,2,"47,170,490","47,171,192",115.4,"44,211,572","48,402,677",-----
IDP8167,2,"48,216,381","48,218,203",116.5,"47,145,957","48,536,954",-----
TIDP3679,2,"48,400,848","48,403,779",117.6,"49,818,521","51,551,383","1,414,742"
IDP1415,2,"48,421,766","48,422,598",116.5,"47,145,957","48,536,954",-----
umc1259,2,"48,426,297","48,428,249",116.5,"47,145,957","48,536,954",-----
IDP9117,2,"48,430,114","48,431,379",116.5,"47,145,957","48,536,954",-----
TIDP5785,2,"48,655,371","48,656,921",117.6,"49,818,521","51,551,383","1,161,600"
IDP267,2,"48,663,920","48,666,200",116.5,"47,145,957","48,536,954","126,966"
IDP4962,2,"49,115,281","49,116,050",116.5,"47,145,957","48,536,954","578,327"
IDP8065,2,"49,892,629","49,894,039",116.5,"47,145,957","48,536,954","1,355,675"
umc2030,2,"49,920,087","49,920,674",117.6,"49,818,521","51,551,383",-----
IDP200,2,"49,925,875","49,928,821",116.5,"47,145,957","48,536,954","1,388,921"
IDPCP82869,2,"50,031,002","50,032,525",117.6,"49,818,521","51,551,383",-----
IDP8426,2,"50,808,151","50,810,139",117.6,"49,818,521","51,551,383",-----
IDP317,2,"51,279,585","51,284,463",117.6,"49,818,521","51,551,383",-----
IDP7161,2,"51,438,515","51,439,859",117.6,"49,818,521","51,551,383",-----
TIDP5091,2,"51,442,650","51,445,748",119.8,"57,605,385","61,801,413","6,159,637"
IDP1496,2,"51,552,487","51,554,336",117.6,"49,818,521","51,551,383","1,104"
TIDP5381,2,"51,624,399","51,625,314",117.6,"49,818,521","51,551,383","73,016"
TIDP6246,2,"51,820,965","51,821,798",117.6,"49,818,521","51,551,383","269,582"
umc8b,2,"51,927,709","51,928,855",117.6,"49,818,521","51,551,383","376,326"
IDP8713,2,"52,495,871","52,497,540",117.6,"49,818,521","51,551,383","944,488"
umc2088,2,"53,844,511","53,845,898",117.6,"49,818,521","51,551,383","2,293,128"
IDP3814,2,"54,087,686","54,089,603",117.6,"49,818,521","51,551,383","2,536,303"
TIDP9239,2,"54,631,365","54,632,265",117.6,"49,818,521","51,551,383","3,079,982"
IDP5993,2,"54,962,037","54,966,975",117.6,"49,818,521","51,551,383","3,410,654"
IDP8363,2,"55,444,888","55,450,233",117.6,"49,818,521","51,551,383","3,893,505"
TMR23,2,"55,444,888","55,450,233",117.6,"49,818,521","51,551,383","3,893,505"
IDP2455,2,"55,687,146","55,688,695",119.8,"57,605,385","61,801,413","1,916,690"
IDP4004,2,"56,807,275","56,810,185",119.8,"57,605,385","61,801,413","795,200"
umc2079,2,"56,966,032","56,966,726",117.6,"49,818,521","51,551,383","5,414,649"
IDP7716,2,"57,055,849","57,056,569",117.6,"49,818,521","51,551,383","5,504,466"
IDP8274,2,"57,056,573","57,058,992",117.6,"49,818,521","51,551,383","5,505,190"
php10012,2,"57,057,343","57,057,955",119.8,"57,605,385","61,801,413","547,430"
IDP7309,2,"57,064,804","57,066,193",117.6,"49,818,521","51,551,383","5,513,421"
IDP3774,2,"57,643,181","57,646,821",117.6,"49,818,521","51,551,383","6,091,798"
IDP7860,2,"57,742,279","57,745,897",119.8,"57,605,385","61,801,413",-----
IDP4221,2,"61,722,764","61,724,574",122.7,"61,801,414","69,727,733","76,840"
umc2250,2,"61,856,112","61,856,772",122.7,"61,801,414","69,727,733",-----
IDP8257,2,"61,870,777","61,874,933",119.8,"57,605,385","61,801,413","69,364"
IDP496,2,"62,924,210","62,924,791",122.7,"61,801,414","69,727,733",-----
TIDP3658,2,"62,924,974","62,925,777",122.7,"61,801,414","69,727,733",-----
IDP4437,2,"62,981,308","62,983,323",122.7,"61,801,414","69,727,733",-----
TIDP5442,2,"62,990,345","62,993,977",122.7,"61,801,414","69,727,733",-----
IDP2468,2,"63,944,183","63,944,496",122.7,"61,801,414","69,727,733",-----
IDP8654,2,"64,655,423","64,657,292",122.7,"61,801,414","69,727,733",-----
umc1454,2,"69,703,905","69,704,680",129,"103,125,621","118,614,237","33,420,941"
uaz262,2,"69,705,028","69,705,397",127.1,"64,564,615","69,727,733",-----
umc131,2,"71,112,564","71,113,422",127.1,"64,564,615","69,727,733","1,384,831"
IDP8112,2,"71,679,747","71,680,732",129,"103,125,621","118,614,237","31,444,889"
TIDP6216,2,"71,891,368","71,892,249",127.1,"64,564,615","69,727,733","2,163,635"
TIDP3435,2,"75,420,652","75,423,167",129,"103,125,621","118,614,237","27,702,454"
IDP4092,2,"76,046,365","76,048,437",129,"103,125,621","118,614,237","27,077,184"
IDP4901,2,"78,228,794","78,231,884",129,"103,125,621","118,614,237","24,893,737"
IDP4507,2,"78,709,794","78,711,107",129,"103,125,621","118,614,237","24,414,514"
IDP9041,2,"78,769,374","78,771,331",127.1,"64,564,615","69,727,733","9,041,641"
TIDP6462,2,"79,180,909","79,181,985",129,"103,125,621","118,614,237","23,943,636"
IDP8110,2,"80,587,618","80,588,690",129,"103,125,621","118,614,237","22,536,931"
TIDP6293,2,"83,189,262","83,190,815",127.1,"64,564,615","69,727,733","13,461,529"
TIDP7149,2,"83,334,765","83,335,507",127.1,"64,564,615","69,727,733","13,607,032"
TIDP6534,2,"83,459,253","83,460,305",129,"103,125,621","118,614,237","19,665,316"
IDP488,2,"83,491,076","83,493,759",129,"103,125,621","118,614,237","19,631,862"
IDPCP102091,2,"89,032,126","89,033,662",129,"103,125,621","118,614,237","14,091,959"
IDP4530,2,"89,349,126","89,350,356",129,"103,125,621","118,614,237","13,775,265"
TIDP5658,2,"90,377,238","90,379,529",129,"103,125,621","118,614,237","12,746,092"
mmp119,2,"91,643,423","91,644,613",129,"103,125,621","118,614,237","11,481,008"
IDP4138,2,"92,155,811","92,156,951",129,"103,125,621","118,614,237","10,968,670"
TIDP2789,2,"93,805,588","93,807,460",129,"103,125,621","118,614,237","9,318,161"
TIDP2758,2,"95,647,852","95,648,646",129,"103,125,621","118,614,237","7,476,975"
IDP4455,2,"96,765,803","96,767,075",129,"103,125,621","118,614,237","6,358,546"
IDP5880,2,"96,903,572","96,905,519",129,"103,125,621","118,614,237","6,220,102"
IDP7014,2,"97,109,522","97,110,279",129,"103,125,621","118,614,237","6,015,342"
IDP723,2,"98,208,825","98,220,431",129,"103,125,621","118,614,237","4,905,190"
IDP183,2,"99,381,949","99,382,685",129,"103,125,621","118,614,237","3,742,936"
umc1581,2,"100,073,336","100,074,126",129,"103,125,621","118,614,237","3,051,495"
TIDP3733,2,"102,351,286","102,354,549",129,"103,125,621","118,614,237","771,072"
IDP6048,2,"103,198,730","103,200,112",127.1,"64,564,615","69,727,733","33,470,997"
IDP3936,2,"105,541,823","105,543,500",129,"103,125,621","118,614,237",-----
IDP8430,2,"105,719,594","105,720,832",129,"103,125,621","118,614,237",-----
IDP7594,2,"107,315,641","107,320,186",129,"103,125,621","118,614,237",-----
TIDP6497,2,"107,768,149","107,769,960",129,"103,125,621","118,614,237",-----
TIDP2823,2,"108,049,239","108,051,254",129,"103,125,621","118,614,237",-----
IDP4958,2,"108,623,787","108,625,218",129,"103,125,621","118,614,237",-----
IDP6740,2,"110,407,622","110,408,206",129,"103,125,621","118,614,237",-----
TIDP5233,2,"110,428,426","110,431,801",129,"103,125,621","118,614,237",-----
TIDP3418,2,"111,133,670","111,136,825",129,"103,125,621","118,614,237",-----
IDP7446,2,"111,204,578","111,207,394",129,"103,125,621","118,614,237",-----
IDP4095,2,"111,306,801","111,308,697",129,"103,125,621","118,614,237",-----
IDP592,2,"111,314,623","111,317,843",129,"103,125,621","118,614,237",-----
TIDP5485,2,"111,670,373","111,672,422",129,"103,125,621","118,614,237",-----
TIDP5523,2,"113,399,047","113,401,488",129,"103,125,621","118,614,237",-----
IDP2573,2,"115,434,218","115,435,507",129,"103,125,621","118,614,237",-----
TIDP3641,2,"118,535,369","118,537,187",129.4,"119,143,882","135,856,854","606,695"
IDP8714,2,"118,690,236","118,694,520",129,"103,125,621","118,614,237","75,999"
IDP7834,2,"118,897,708","118,899,040",129.4,"119,143,882","135,856,854","244,842"
TIDP5782,2,"119,214,115","119,215,658",129.8,"135,006,381","140,919,225","15,790,723"
IDP5883,2,"119,661,069","119,662,030",129.4,"119,143,882","135,856,854",-----
IDP4275,2,"119,881,211","119,882,550",129,"103,125,621","118,614,237","1,266,974"
IDP8385,2,"129,425,580","129,428,481",129.8,"135,006,381","140,919,225","5,577,900"
TIDP5219,2,"130,951,449","130,952,566",129.8,"135,006,381","140,919,225","4,053,815"
TIDP6452,2,"131,007,473","131,008,399",129.8,"135,006,381","140,919,225","3,997,982"
IDP4025,2,"134,037,058","134,038,313",129,"103,125,621","118,614,237","15,422,821"
AW681281,2,"135,049,069","135,049,748",129.4,"119,143,882","135,856,854",-----
IDP4776,2,"135,819,562","135,821,158",129,"103,125,621","118,614,237","17,205,325"
TIDP5585,2,"136,109,065","136,110,980",129.8,"135,006,381","140,919,225",-----
IDP4971,2,"140,877,236","140,878,376",131.2,"148,567,204","152,123,740","7,688,828"
TIDP3698,2,"140,884,992","140,885,908",129.8,"135,006,381","140,919,225",-----
TIDP6425,2,"142,271,799","142,273,324",129.8,"135,006,381","140,919,225","1,352,574"
TIDP5334,2,"143,652,039","143,653,231",129.8,"135,006,381","140,919,225","2,732,814"
IDP7698,2,"144,047,916","144,049,170",129.8,"135,006,381","140,919,225","3,128,691"
IDP750,2,"144,048,860","144,049,566",131.2,"148,567,204","152,123,740","4,517,638"
TIDP3344,2,"144,193,863","144,194,836",131.2,"148,567,204","152,123,740","4,372,368"
IDP4907,2,"145,201,495","145,203,096",131.2,"148,567,204","152,123,740","3,364,108"
TIDP9250,2,"145,425,850","145,428,666",131.2,"148,567,204","152,123,740","3,138,538"
IDP7179,2,"146,018,348","146,020,824",129.8,"135,006,381","140,919,225","5,099,123"
IDP6936,2,"147,300,485","147,302,472",129.8,"135,006,381","140,919,225","6,381,260"
TIDP4652,2,"147,308,443","147,311,575",131.2,"148,567,204","152,123,740","1,255,629"
TIDP5715,2,"147,626,629","147,628,588",131.2,"148,567,204","152,123,740","938,616"
TIDP4601,2,"147,705,800","147,708,052",131.2,"148,567,204","152,123,740","859,152"
IDP8373,2,"148,561,040","148,562,793",131.2,"148,567,204","152,123,740","4,411"
umc1028,2,"148,630,573","148,631,293",129.8,"135,006,381","140,919,225","7,711,348"
IDP8265,2,"148,659,259","148,661,373",129.8,"135,006,381","140,919,225","7,740,034"
IDP8402,2,"149,005,050","149,007,833",131.2,"148,567,204","152,123,740",-----
IDP4946,2,"149,160,527","149,162,439",131.2,"148,567,204","152,123,740",-----
IDP7586,2,"149,512,993","149,514,820",131.2,"148,567,204","152,123,740",-----
TIDP5617,2,"149,609,928","149,611,623",131.2,"148,567,204","152,123,740",-----
TIDP5366,2,"150,101,253","150,102,908",131.2,"148,567,204","152,123,740",-----
TIDP5572,2,"151,604,541","151,605,893",134,"158,362,416","161,010,129","6,756,523"
IDP8930,2,"151,608,128","151,610,049",134,"158,362,416","161,010,129","6,752,367"
IDP735,2,"152,103,896","152,107,270",133.1,"149,976,646","151,614,657","489,239"
IDP4963,2,"152,203,589","152,204,915",134,"158,362,416","161,010,129","6,157,501"
bnlg1831,2,"152,207,428","152,208,045",133.1,"149,976,646","151,614,657","592,771"
IDP8668,2,"152,348,129","152,349,521",134,"158,362,416","161,010,129","6,012,895"
IDP8626,2,"152,500,691","152,503,632",134,"158,362,416","161,010,129","5,858,784"
IDP746,2,"152,695,014","152,697,654",134,"158,362,416","161,010,129","5,664,762"
IDPCP38933,2,"152,841,503","152,842,938",134,"158,362,416","161,010,129","5,519,478"
IDP8098,2,"152,885,474","152,888,223",134,"158,362,416","161,010,129","5,474,193"
IDP7449,2,"153,857,674","153,859,316",133.1,"149,976,646","151,614,657","2,243,017"
IDP4118,2,"154,577,118","154,578,978",134,"158,362,416","161,010,129","3,783,438"
TIDP5795,2,"154,775,378","154,776,678",134,"158,362,416","161,010,129","3,585,738"
IDP7895,2,"158,406,899","158,410,159",134.5,"154,640,592","158,669,532",-----
TIDP5810,2,"158,609,901","158,610,866",136.3,"163,316,218","169,296,430","4,705,352"
TIDP5287,2,"160,957,174","160,957,883",133.1,"149,976,646","151,614,657","9,342,517"
TIDP5779,2,"161,439,687","161,441,531",134.5,"154,640,592","158,669,532","2,770,155"
IDP3911,2,"163,318,120","163,319,683",134.5,"154,640,592","158,669,532","4,648,588"
IDP825,2,"163,450,705","163,452,527",138,"169,483,866","175,170,245","6,031,339"
IDP8986,2,"164,720,816","164,725,343",138,"169,483,866","175,170,245","4,758,523"
IDP6805,2,"164,858,925","164,860,653",138,"169,483,866","175,170,245","4,623,213"
IDP7176,2,"164,879,726","164,882,303",138,"169,483,866","175,170,245","4,601,563"
TIDP3735,2,"165,614,958","165,616,128",138,"169,483,866","175,170,245","3,867,738"
IDP8466,2,"167,331,522","167,334,251",138,"169,483,866","175,170,245","2,149,615"
umc2253,2,"167,362,207","167,363,892",138,"169,483,866","175,170,245","2,119,974"
IDP4098,2,"169,194,379","169,196,264",137.1,"158,495,423","163,566,033","5,628,346"
umc2178,2,"169,378,028","169,378,759",138,"169,483,866","175,170,245","105,107"
IDP7761,2,"169,493,657","169,495,456",138.5,"170,525,039","174,547,912","1,029,583"
IDP9040,2,"170,633,622","170,636,471",138.9,"169,483,866","174,695,702",-----
IDP4481,2,"170,656,896","170,658,361",138,"169,483,866","175,170,245",-----
IDP866,2,"171,072,578","171,074,640",138.9,"169,483,866","174,695,702",-----
umc2254,2,"171,743,576","171,746,468",138.9,"169,483,866","174,695,702",-----
umc1875,2,"171,818,874","171,819,189",137.1,"158,495,423","163,566,033","8,252,841"
TIDP6704,2,"171,833,722","171,834,922",138,"169,483,866","175,170,245",-----
IDP4240,2,"171,960,727","171,962,015",138.9,"169,483,866","174,695,702",-----
bnlg1138,2,"172,337,893","172,338,701",138.9,"169,483,866","174,695,702",-----
TIDP6109,2,"172,827,672","172,828,402",138,"169,483,866","175,170,245",-----
AY105915,2,"173,380,796","173,391,334",137.1,"158,495,423","163,566,033","9,814,763"
IDP2141,2,"173,943,576","173,947,919",138.9,"169,483,866","174,695,702",-----
umc1923,2,"173,963,980","173,964,296",138.9,"169,483,866","174,695,702",-----
umc1080,2,"174,471,057","174,471,384",137.1,"158,495,423","163,566,033","10,905,024"
IDP7426,2,"174,474,435","174,476,984",138,"169,483,866","175,170,245",-----
IDP7427,2,"174,476,952","174,477,854",138.9,"169,483,866","174,695,702",-----
umc1755,2,"174,609,543","174,610,105",139.6,"177,349,669","178,016,856","2,739,564"
IDP6796,2,"174,674,499","174,675,277",138.9,"169,483,866","174,695,702",-----
AY109981,2,"175,089,037","175,089,439",137.1,"158,495,423","163,566,033","11,523,004"
IDP4142,2,"175,091,724","175,093,309",138.9,"169,483,866","174,695,702","396,022"
IDP7765,2,"175,342,722","175,344,940",138.9,"169,483,866","174,695,702","647,020"
TIDP5708,2,"175,837,556","175,838,030",138.9,"169,483,866","174,695,702","1,141,854"
IDP7370,2,"176,017,124","176,024,180",138.9,"169,483,866","174,695,702","1,321,422"
IDP3872,2,"177,238,717","177,241,745",138.9,"169,483,866","174,695,702","2,543,015"
IDP4539,2,"177,436,456","177,440,167",138.9,"169,483,866","174,695,702","2,740,754"
TIDP3575,2,"177,948,776","177,949,369",140.3,"177,849,512","185,513,154",-----
IDP819,2,"177,982,551","177,983,049",139.6,"177,349,669","178,016,856",-----
IDP6768,2,"178,223,093","178,225,671",140.3,"177,849,512","185,513,154",-----
TIDP2671,2,"185,381,629","185,387,346",145.4,"178,198,483","186,703,660",-----
IDP4154,2,"185,608,479","185,610,154",145.4,"178,198,483","186,703,660",-----
IDP8613,2,"186,272,853","186,274,102",145.4,"178,198,483","186,703,660",-----
IDP4234,2,"186,527,960","186,529,414",145.4,"178,198,483","186,703,660",-----
IDP6815,2,"186,531,339","186,534,513",145.4,"178,198,483","186,703,660",-----
umc1108,2,"186,532,782","186,533,279",145.4,"178,198,483","186,703,660",-----
IDP97,2,"186,628,311","186,630,502",146.4,"186,410,808","186,999,761",-----
IDP7651,2,"186,628,318","186,630,413",146.4,"186,410,808","186,999,761",-----
TIDP6436,2,"186,684,248","186,686,596",146.4,"186,410,808","186,999,761",-----
IDP6620,2,"186,891,249","186,895,603",146.4,"186,410,808","186,999,761",-----
IDP7818,2,"186,899,467","186,900,374",146.4,"186,410,808","186,999,761",-----
IDP7819,2,"186,900,364","186,901,180",146.8,"187,702,899","187,894,598","801,719"
IDP7635,2,"187,877,018","187,878,982",146.4,"186,410,808","186,999,761","877,257"
IDP616,2,"187,878,084","187,880,221",146.4,"186,410,808","186,999,761","878,323"
IDP7292,2,"187,880,418","187,882,167",147.2,"186,881,160","189,333,851",-----
IDP8278,2,"188,818,692","188,821,202",147.2,"186,881,160","189,333,851",-----
TIDP7130,2,"189,272,732","189,274,283",148.6,"188,652,678","189,563,784",-----
TIDP4656,2,"189,310,946","189,312,644",148.6,"188,652,678","189,563,784",-----
IDP79,2,"189,496,640","189,502,748",149.3,"189,190,801","195,782,417",-----
IDP1679,2,"190,158,014","190,159,244",149.3,"189,190,801","195,782,417",-----
TIDP4602,2,"190,829,330","190,831,656",149.3,"189,190,801","195,782,417",-----
TIDP3436,2,"190,853,366","190,854,990",149.3,"189,190,801","195,782,417",-----
IDP6803,2,"191,376,040","191,380,425",149.3,"189,190,801","195,782,417",-----
IDP2589,2,"191,811,959","191,814,389",149.3,"189,190,801","195,782,417",-----
IDP4361,2,"192,160,908","192,162,586",149.3,"189,190,801","195,782,417",-----
TIDP7078,2,"192,224,916","192,228,054",149.3,"189,190,801","195,782,417",-----
IDP7491,2,"192,411,502","192,415,224",149.3,"189,190,801","195,782,417",-----
IDP7470,2,"192,432,334","192,433,210",149.3,"189,190,801","195,782,417",-----
IDP6881,2,"192,783,350","192,786,079",149.3,"189,190,801","195,782,417",-----
IDP8999,2,"193,207,119","193,209,084",149.3,"189,190,801","195,782,417",-----
TIDP3237,2,"193,422,062","193,425,222",149.3,"189,190,801","195,782,417",-----
IDP4744,2,"193,715,298","193,716,418",149.3,"189,190,801","195,782,417",-----
TIDP8799,2,"195,744,710","195,747,197",150.4,"193,663,569","196,224,187",-----
IDP8642,2,"195,838,188","195,840,804",150.4,"193,663,569","196,224,187",-----
